"CoverName","PerformerName","YoutubeUri","SongId","SongName","ArtistName"
"Lucky","Glee Cast","https://youtu.be/lJK5p7T3OAk","1","Lucky","Jason Mraz"
"Lucky","Corey Gray & Savannah Outen","https://youtu.be/RL_8YgnJfok","1","Lucky","Jason Mraz"
"Lucky","Jason Chen x ArdenCho","https://youtu.be/lbeY7Y3gI-c","1","Lucky","Jason Mraz"
"Lucky","Cris Delanno","https://youtu.be/e8GW_5sZ9UA","1","Lucky","Jason Mraz"
"Lucky","The Class Notes","https://youtu.be/_AvIMekGV-8","1","Lucky","Jason Mraz"
"Lucky","Jesse & Ashleigh","","1","Lucky","Jason Mraz"
"Lucky","Sabrina feat. Richard Poon","","1","Lucky","Jason Mraz"
"Lucky","Piano Tribute Players","https://youtu.be/wCWk1HLgghE","1","Lucky","Jason Mraz"
"Lucky","Acoustic Heartstrings","https://youtu.be/CfcdYyuZeZM","1","Lucky","Jason Mraz"
"Lucky [Jason Mraz feat. Colbie Caillat]","Vitamin String Quartet","https://youtu.be/p61OScBMVSY","1","Lucky","Jason Mraz"
"Lucky","Midnite String Quartet","","1","Lucky","Jason Mraz"
"Lucky [Jason Mraz]","Sweet Little Band","https://youtu.be/wYR2vQYE2O8","1","Lucky","Jason Mraz"
"Lucky [Jason Mraz]","Yoga Pop Ups","https://youtu.be/UDaYxO9ztoA","1","Lucky","Jason Mraz"
"Lucky","Guitar Dreamers","https://youtu.be/dTS0-B-rbVc","1","Lucky","Jason Mraz"
"Lucky","Guitar Tribute Players","https://youtu.be/Beb9CbnraPY","1","Lucky","Jason Mraz"
"Lucky","Twinkle Twinkle Little Rock Star","","1","Lucky","Jason Mraz"
"Lucky","Acoustic Sessions","","1","Lucky","Jason Mraz"
"Fly Me to the Moon / Lucky","Rick Hale feat. Breea Guttery","https://youtu.be/9Hf1t_BXGfk","1","Lucky","Jason Mraz"
"Lucky","Billboard Baby Lullabies","","1","Lucky","Jason Mraz"
"Lucky","Randy Rektor & Bailey Pelkman","https://youtu.be/z9SPDoLK50k","1","Lucky","Jason Mraz"
